A,B,C,Result
0.9990000000,0.9990000000,0.9990000000,0.9970029990,
0.0010000000,0.9990000000,0.9990000000,0.0009980010,
0.9990000000,0.0010000000,0.9990000000,0.0009980010,
0.0010000000,0.0010000000,0.9990000000,0.0000009990,
0.9990000000,0.9990000000,0.0010000000,0.0009980010,
0.0010000000,0.9990000000,0.0010000000,0.0000009990,
0.9990000000,0.0010000000,0.0010000000,0.0000009990,
0.0010000000,0.0010000000,0.0010000000,0.0000000010,
Reliability,Safe Failure,Dangerous Failure
0.9999970020,0.0000000000,0.0000029980
