A,B,C,Result
0.9991000000,0.9991000000,0.9991000000,0.9973024293,
0.0009000000,0.9991000000,0.9991000000,0.0008983807,
0.9991000000,0.0009000000,0.9991000000,0.0008983807,
0.0009000000,0.0009000000,0.9991000000,0.0000008093,
0.9991000000,0.9991000000,0.0009000000,0.0008983807,
0.0009000000,0.9991000000,0.0009000000,0.0000008093,
0.9991000000,0.0009000000,0.0009000000,0.0000008093,
0.0009000000,0.0009000000,0.0009000000,0.0000000007,
Reliability,Safe Failure,Dangerous Failure
0.9999975715,0.0000000000,0.0000024285
