A,B,C,Result
0.9910000000,0.9910000000,0.9910000000,0.9732422710,
0.0090000000,0.9910000000,0.9910000000,0.0088387290,
0.9910000000,0.0090000000,0.9910000000,0.0088387290,
0.0090000000,0.0090000000,0.9910000000,0.0000802710,
0.9910000000,0.9910000000,0.0090000000,0.0088387290,
0.0090000000,0.9910000000,0.0090000000,0.0000802710,
0.9910000000,0.0090000000,0.0090000000,0.0000802710,
0.0090000000,0.0090000000,0.0090000000,0.0000007290,
Reliability,Safe Failure,Dangerous Failure
0.9997584580,0.0000000000,0.0002415420
