A,B,C,Result
0.9100000000,0.9100000000,0.9100000000,0.7535710000,
0.0900000000,0.9100000000,0.9100000000,0.0745290000,
0.9100000000,0.0900000000,0.9100000000,0.0745290000,
0.0900000000,0.0900000000,0.9100000000,0.0073710000,
0.9100000000,0.9100000000,0.0900000000,0.0745290000,
0.0900000000,0.9100000000,0.0900000000,0.0073710000,
0.9100000000,0.0900000000,0.0900000000,0.0073710000,
0.0900000000,0.0900000000,0.0900000000,0.0007290000,
Reliability,Safe Failure,Dangerous Failure
0.9771580000,0.0000000000,0.0228420000
