A,B,Result
0.9990000000,0.9990000000,0.9980010000,
0.0010000000,0.9990000000,0.0009990000,
0.9990000000,0.0010000000,0.0009990000,
0.0010000000,0.0010000000,0.0000010000,
Reliability,Safe Failure,Dangerous Failure
0.9980010000,0.0019980000,0.0000010000
